Title,Artist,ConstituentID,Nationality,Gender,Date,Classification,Department,ObjectID,URL,ThumbnailURL
Flashcard,Iain Sinclair,5444,British,Male,1993,Design,Architecture & Design,82160,http://www.moma.org/collection/works/82160,http://www.moma.org/media/W1siZiIsIjk3NjQ2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=7ec6618cf0e53ecb
Globlow Lamp,Markus Nevalainen,22574,Finnish,Male,1996,Design,Architecture & Design,82161,http://www.moma.org/collection/works/82161,http://www.moma.org/media/W1siZiIsIjU5NTc5Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=c677adfed5566297
Piano Seduto,Jay Kyu Lee,22588,Korean,Male,2000,Design,Architecture & Design,82162,http://www.moma.org/collection/works/82162,http://www.moma.org/media/W1siZiIsIjIzMDE1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=718869d8a8cbcc89
Aibo entertainment robot (ERS-110),Hajime Sorayama,22591,Japanese,Male,1999,Design,Architecture & Design,82163,http://www.moma.org/collection/works/82163,http://www.moma.org/media/W1siZiIsIjIzMDE3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=29858e708ed89830
Tonietta Chair,Enzo Mari,3766,Italian,Male,1985,Design,Architecture & Design,82164,http://www.moma.org/collection/works/82164,http://www.moma.org/media/W1siZiIsIjIzMDE2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=729394e5dda9d134
Cioccolator Pad Calculator,Alessandro Mendini,3925,Italian,Male,1998,Design,Architecture & Design,82167,http://www.moma.org/collection/works/82167,http://www.moma.org/media/W1siZiIsIjIzMDE2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7433d3200e1b8c4e
Console Table,Cristiano Toraldo di Francia,8224,Italian,Male,1970,Design,Architecture & Design,82168,http://www.moma.org/collection/works/82168,
Console Table,Gian Piero Frassinelli,8222,Italian,Male,1970,Design,Architecture & Design,82168,http://www.moma.org/collection/works/82168,
Console Table,Alessandro Magris,8220,Italian,Male,1970,Design,Architecture & Design,82168,http://www.moma.org/collection/works/82168,
Console Table,Roberto Magris,8221,Italian,Male,1970,Design,Architecture & Design,82168,http://www.moma.org/collection/works/82168,
Console Table,Adolfo Natalini,8223,Italian,Male,1970,Design,Architecture & Design,82168,http://www.moma.org/collection/works/82168,
V 3682 Cellular Telephone,Albert Nagele,22592,American,Male,1996,Design,Architecture & Design,82169,http://www.moma.org/collection/works/82169,http://www.moma.org/media/W1siZiIsIjIzMDE2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a36ffd7c5ffabc84
Console Bench,Cristiano Toraldo di Francia,8224,Italian,Male,1970,Design,Architecture & Design,82170,http://www.moma.org/collection/works/82170,
Console Bench,Gian Piero Frassinelli,8222,Italian,Male,1970,Design,Architecture & Design,82170,http://www.moma.org/collection/works/82170,
